,concepts,description,related
0,1-gallon paint bucket,1-gallon paint bucket, 
1,2G Robotics structured light laser,2G Robotics structured light laser, 
2,55-gallon drum,55-gallon drum, 
3,Abralia,Abralia is a genus of squid comprising around 20 species from the family Enoploteuthidae. They are small squid which can be found in the epipelagic to mesopelagic zones while some species are found in water with shallow substrates on steep slopes on the boundary of the mesopelagic zone.,"Abralia armata, Abralia heminuchalis, Abralia omiae, Abralia similis"
4,Abraliopsis,Abraliopsis is a genus of squid in the family Enoploteuthidae comprising 11 nominal species. Species are characterised by the presence of photophores on arm pair IV. Suckers are absent from this arm.,"Abraliopsis morisii, Abraliopsis pacificus, Enoploteuthidae, Abraliopsis atlantica"
5,Abraliopsis (Boreabraliopsis) felis,Abraliopsis felis is a species of enoploteuthid cephalopod found in cool temperate water of the north Pacific Ocean. Female oocytes measure 1.5 mm in length.,"Abraliopsis felis, Abraliopsis"
6,Abyssoberyx,"Abyssoberyx is a genus in the pricklefish family containing the single species Abyssoberyx levisquamosus, which is found in the northeast Atlantic Ocean at depths of from 4,480 to 4,565 metres (14,698 to 14,977 ft). This species grows to a length of 16.8 centimetres (6.6 in) SL.","Stephanoberycidae, List of data deficient fishes"
7,Abyssocladia,"Abyssocladia is a genus of the family Cladorhizidae, a family of carnivorous sponges. It is made up of at least 39 species found in oceans all over the world.","Cladorhizidae, Michelle Kelly (marine scientist), Jean Vacelet"
8,Abyssocladia lakwollii,"Abyssocladia is a genus of the family Cladorhizidae, a family of carnivorous sponges. It is made up of at least 39 species found in oceans all over the world.",Abyssocladia
9,Abyssocucumis abyssorum,"Cucumariidae is a family of sea cucumbers, marine animals with elongated bodies, leathery skins and tentacles that are found on the sea bed.",Cucumariidae
10,Abyssopathes,Schizopathidae is a family of corals belonging to the order Antipatharia.,"Schizopathidae, Black coral"
11,Abyssopathes lyra,Schizopathidae is a family of corals belonging to the order Antipatharia.,"Schizopathidae, Black coral"
12,Acanella,"Acanella is a genus of deep sea bamboo coral of the family Isididae. Acanella are mainly studied and found in Hawaii, they are able to survive in high-flow sites and are preyed upon by nudibranch mollusks.","Australaugeneria iberica, Bamboo coral, Neopolynoe acanellae, Snow Fairy Stakes"
13,Acanella dispar,"Acanella is a genus of deep sea bamboo coral of the family Isididae. Acanella are mainly studied and found in Hawaii, they are able to survive in high-flow sites and are preyed upon by nudibranch mollusks.","Acanella, List of marine cnidarians of South Africa"
14,Acanella weberi,"Acanella is a genus of deep sea bamboo coral of the family Isididae. Acanella are mainly studied and found in Hawaii, they are able to survive in high-flow sites and are preyed upon by nudibranch mollusks.",Acanella
15,Acanthacaris tenuimana,Acanthacaris tenuimana is a species of deep-water lobster.,"Acanthacaris, Lobster, Acanthacaris caeca, List of least concern arthropods"
16,Acanthamunnopsis,"The family Munnopsidae is a family of asellote isopoda which is one of the most speciose and frequently collected of the known isopod families. As currently structured it consists of nine subfamilies, 42 genera and about 320 species.",Munnopsidae
17,Acanthamunnopsis milleri,"Isopoda is an order of crustacean, which includes woodlice and their relatives. Members of this group are called Isopods and include both terrestrial and marine species.","Isopoda, Asellota, Iais pubescens, Desmosoma elegans, Microparasellidae"
18,Acanthascinae,Staurocalyptus is a genus of sponge. It was circumscribed in 1897 by Isao Ijima.,"Staurocalyptus, Acanthascus, Rossellidae, List of sponges of South Africa"
19,Acanthascinae sp. 1-4 complex,Acanthascinae sp. 1-4 complex, 
20,Acanthascinae sp. 2,Acanthascinae sp. 2, 
21,Acanthascinae sp. 4,Acanthascinae sp. 4, 
22,Acanthascus,Acanthascus is a genus of sponges in the family Rossellidae.,"Acanthascus malacus, Rossella antarctica, Staurocalyptus affinis, Sponge reef"
23,Acanthephyra,"Acanthephyra is a genus of shrimp in the family Acanthephyridae, with species that live at depths from 0 to more than 5000 meters deep below the ocean surface.","Acanthephyra purpurea, Crustacean larva, Bioluminescence, Oplophoridae"
24,Acanthephyra eximia,"Acanthephyra is a genus of shrimp in the family Acanthephyridae, with species that live at depths from 0 to more than 5000 meters deep below the ocean surface.","Acanthephyra, Portuguese dogfish, List of marine crustaceans of South Africa"
